,station_id,time,AtmosphericPressure,WindDirection,WindSpeed,WaveHeight
22883,M3,2005-05-09T01:00:00Z,1021.4,20.0,15.0,1.7
22884,M3,2005-05-09T02:00:00Z,1021.4,20.0,14.0,1.7
22885,M3,2005-05-09T03:00:00Z,1021.4,30.0,14.0,1.6
22886,M3,2005-05-09T04:00:00Z,1021.2,30.0,13.0,1.6
22887,M3,2005-05-09T05:00:00Z,1021.0,40.0,12.0,1.5
22888,M3,2005-05-09T06:00:00Z,1021.4,60.0,11.0,1.5
22889,M3,2005-05-09T07:00:00Z,1021.6,90.0,12.0,1.5
22890,M3,2005-05-09T08:00:00Z,1021.8,80.0,12.0,1.5
22891,M3,2005-05-09T09:00:00Z,1022.0,70.0,10.0,1.5
22892,M3,2005-05-09T10:00:00Z,1022.0,50.0,9.0,1.5
22893,M3,2005-05-09T11:00:00Z,1022.2,60.0,9.0,1.5
22894,M3,2005-05-09T12:00:00Z,1022.4,50.0,7.0,1.5
22895,M3,2005-05-09T13:00:00Z,1022.2,30.0,5.0,1.4
22896,M3,2005-05-09T14:00:00Z,1022.0,10.0,5.0,1.4
22897,M3,2005-05-09T15:00:00Z,1022.0,340.0,6.0,1.5
22898,M3,2005-05-09T16:00:00Z,1021.6,340.0,6.0,1.4
22899,M3,2005-05-09T17:00:00Z,1021.4,360.0,11.0,1.4
